id,Name (Institution or Individual),Startups,Investment Lists,LinkedIn Profile,Company (from Associated Startups),Investor Type,Startup Count,Contacts,Name (from Contacts),Notes
recmZJzhQzEETK0cS,Oleg Evseenkov,['reclwEhs74kIaEbdm'],"['Adaptive Manufacturing (AM, CAM, CNC)']",,['DigiFabster'],Individual,1,,,
recme63IVdBukCjMB,Uwe Horstmann,['recmTm2ReTxcWAB6r'],"['SW+HW=Innovation (Robotics, Drones)']",,['ARX Robotics'],Individual,1,,,
recnAelWCM8dDxmpV,Yujin Kim,['recniiOVyFWYRwX5N'],"['Extreme Analysis (CAE, CFD, FEA, QC)']",,['Polymerize'],Individual,1,,,
recnjcitX1nvGgfhn,Primus Developments,['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Individual,1,,,
reco8ZV8hzWcuHFOb,Baukom Group,['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Individual,1,,,
recoZsi9sTBWOguyN,SC Launch Inc.,['reco50LmmuaWkumKC'],"['Cognitive Thread (PLM, MBSE, DT)']",,['CADchat (acquired by Court Square in 2025)'],Institutional Investors,1,,,
recoayBqwUIrHQAS1,Lindner Group,['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Individual,1,,,
recopegEz98N6pDlK,AVN (Abbruchverband),['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Institutional Investors,1,,,
recp7OQdiOpSx9prx,5150 Capital,['reckkbf93JXxaXGch'],"['SW+HW=Innovation (Robotics, Drones)']",,['Kwant.ai'],Institutional Investors,1,,,
recpGStk0xFe3k9hN,Sound Ventures,['recleLXYV3KP12GWX'],"['SW+HW=Innovation (Robotics, Drones)']",,['Augury'],VC Fund,1,,,
recpIYVRLHv5xkxyp,Converge,['reco6wEFBFz2tuU1d'],['Design Intelligence (CAD)'],,['Hyperganic'],Institutional Investors,1,,,
recpyn5Hm6spJeea7,Paul Murphy,['reckz5OAZf3rKWGP2'],"['Factory Futures (MES, IIOT)']",,['Smartex.ai'],Individual,1,,,
recqT6fwVEUvnolPI,Ken Forster,['reckz5OAZf3rKWGP2'],"['Factory Futures (MES, IIOT)']",,['Smartex.ai'],Individual,1,,,
recqzpsrscf1s5Gff,EDGE,['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Institutional Investors,1,,,
recrByo9fIXqV9jLu,Discovery Ventures,['recmTm2ReTxcWAB6r'],"['SW+HW=Innovation (Robotics, Drones)']",,['ARX Robotics'],VC Fund,1,,,
recrEkXEaKn2n1XvS,Faber,['reckz5OAZf3rKWGP2'],"['Factory Futures (MES, IIOT)']",,['Smartex.ai'],Institutional Investors,1,,,
recrlcnNDXSwiCrne,Schüco,['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Institutional Investors,1,,,
recrpHFpAZ3V0sZo0,MiraclePlus,['recnS2575XJ2X5oF2'],['Bleeding Edge BIM (AEC/BIM)'],,['Caidio'],Institutional Investors,1,,,
recryh6AkVqvB3iGA,Art-Invest,['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Institutional Investors,1,,,
recs0I3wUTh6CIMEI,Eric Migicovsky,['recmF3dwee6Rf89pN'],['Design Intelligence (CAD)'],,['Hestus'],Individual,1,,,
rect0cgheUTI8f7Nj,VentureSouth,['reco50LmmuaWkumKC'],"['Cognitive Thread (PLM, MBSE, DT)']",,['CADchat (acquired by Court Square in 2025)'],VC Fund,1,,,
rectQMBkR4ylnu3EN,Trilux,['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Institutional Investors,1,,,
rectwO7e29fS9vyMy,Swarovski,['reco6wEFBFz2tuU1d'],['Design Intelligence (CAD)'],,['Hyperganic'],Institutional Investors,1,,,
recvISwS3ZbUvHLcw,SOSV,['reckz5OAZf3rKWGP2'],"['Factory Futures (MES, IIOT)']",,['Smartex.ai'],Institutional Investors,1,,,
recvVy6N1I7usYkCA,STARK Deutschland,['reco92rfqorVz9zCO'],['Bleeding Edge BIM (AEC/BIM)'],,['Madaster Germany Gmbh'],Individual,1,,,
recwGN7rHJbe8y4Ee,Omnes Capital,['recmTm2ReTxcWAB6r'],"['SW+HW=Innovation (Robotics, Drones)']",,['ARX Robotics'],Institutional Investors,1,,,
recwgtNYqjKle9PM2,I2BF Global Ventures,['reclwEhs74kIaEbdm'],"['Adaptive Manufacturing (AM, CAM, CNC)']",,['DigiFabster'],VC Fund,1,,,
recx5ruJ4yUvRHbMn,bmp Ventures (bmp AG),['recnlp0KFiaDHUxsT'],"['Adaptive Manufacturing (AM, CAM, CNC)']",,['trinckle 3D Gmbh'],VC Fund,1,,,
recxJBLOaVfeoiqo4,First Round Capital,['recleLXYV3KP12GWX'],"['SW+HW=Innovation (Robotics, Drones)']",,['Augury'],Institutional Investors,1,,,
recxdgR6mpSEdchqo,CoreNest Capital,['recnTHO9styVKAcEE'],"['Knowledge Engineering (R&D, Learning)']",,['RevisionDojo'],Institutional Investors,1,,,
recyDi04fJfB6bzCy,iSeed Ventures,['recnTHO9styVKAcEE'],"['Knowledge Engineering (R&D, Learning)']",,['RevisionDojo'],VC Fund,1,,,
recz63MHQpOcOs30Z,ADB Ventures,['recnS2575XJ2X5oF2'],['Bleeding Edge BIM (AEC/BIM)'],,['Caidio'],VC Fund,1,,,
