Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
Lemnos,"recWwgNKFTLztkKlf, recX8LzxoDPvh3Ul9","Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones)","Pico MES, Built Robotics",2,Institutional Investors,,,,
Real Ventures,"recURcAFYawCUAkDO, recuv6DgeXnWlbges","SW+HW=Innovation (Robotics, Drones), SW+HW=Innovation (Robotics, Drones)","MosaicMFG, Vention",2,VC Fund,,,,
Collaborative Fund,"recUKS2KAJqrCB4zk, recHNAT8a8hoa1919","Design Intelligence (CAD), Augmented Operations (MOM, CMMS, AR/VR, SLM)","Reynko, Phaidra",2,Institutional Investors,,,,
Bloomberg Beta,"recSVLREj85ksFafe, recYo1lWfrlr1SZ7X","Design Intelligence (CAD), SW+HW=Innovation (Robotics, Drones)","camfer, Bright Machines",2,Individual,,,,
Eric Schmidt,"recWZxiMHsbcRa0bH, reczjzXYBgUGpdPXn","Cognitive Thread (PLM, MBSE, DT), Cognitive Thread (PLM, MBSE, DT)","Istari Digital, Citrine Informatics",2,Individual,,,,
Coatue Management,"recVE5W6nsf7RqHqK, reckOTocvgb6BTjQS","SW+HW=Innovation (Robotics, Drones), Extreme Analysis (CAE, CFD, FEA, QC)","Mech-Mind Robotics, Flexcompute",2,Individual,,,,
Office of Naval Research (ONR),"recUBVrVX9YykFDiq, recxa8Osr3LR5dVPJ","Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD)","Intact Solutions, Novineer",2,Institutional Investors,,,,
Ajay Agarwal,"recXnPYUVun4MOI0k, recuv6DgeXnWlbges","Streamlined Supply Chain (SCM), SW+HW=Innovation (Robotics, Drones)","CoFactr, Vention",2,Individual,,,,
Broom Ventures,"recXnPYUVun4MOI0k, recjuF67BCPrAXWap","Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT)","CoFactr, Epsilon3",2,VC Fund,,,,
Dylan Field,"recY5fsh3fqYPfjxf, recdyBD0xEfMJTdFw","Cognitive Thread (PLM, MBSE, DT), SW+HW=Innovation (Robotics, Drones)","SPREAD, Lumafield",2,Individual,,,,
Point Nine,"recSAGzsrJ3WSuoH0, recbpJYXobrrvTmDu","Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD)","Overview AI, Gravity Sketch",2,Individual,,,,
Octave Fund,"recSVLREj85ksFafe, recZIVMNgwbGGEapS","Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC)","camfer, Collimator",2,Institutional Investors,,,,
European Union,"recb3FOUsHyc9vwFh, recoO0kvuvrgbl7fX","Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC)","Threedy, 1000 Kelvin",2,Individual,,,,
Creandum,"recaUTMeWzATmUEaS, recd4D9BVpunqKhpw","Bleeding Edge BIM (AEC/BIM), Design Intelligence (CAD)","Plans, Shapr3D",2,Institutional Investors,,,,
Gutbrain Ventures,"recYWPA4sXO0x7o5B, recZRjLBu8F0psdes","Bleeding Edge BIM (AEC/BIM), Design Intelligence (CAD)","Sense, aPriori",2,VC Fund,,,,
Inovia Capital,"recZ86YHSbyTc91Fk, recuH7CHKjYxM4zdS","SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD)","AON3D, Bench",2,Institutional Investors,,,,
SVB Financial Group,"recYo1lWfrlr1SZ7X, recl2sHNH1iBtTW8J","SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT)","Bright Machines, Acerta",2,Individual,,,,
MacKinnon,"recYWPA4sXO0x7o5B, rec6ZiWbsHoZwg5Ys","Bleeding Edge BIM (AEC/BIM), Extreme Analysis (CAE, CFD, FEA, QC)","Sense, Voxshell",2,Institutional Investors,,,,
EXIST,"recb3FOUsHyc9vwFh, recI8NXqAAZguDIaT","Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC)","Threedy, Synera",2,Institutional Investors,,,,
IQ Capital,"recYNE2mimizPBxNl, recvohT18FH4InPy9","Extreme Analysis (CAE, CFD, FEA, QC), Knowledge Engineering (R&D, Learning)","ToffeeX, Sana (acquired by Workday in 2025)",2,Institutional Investors,,,,
Bloomhaus Ventures,"recamigpbUFSbKQvJ, recWKfTPM9oZtZJDn","Factory Futures (MES, IIOT), Adaptive Manufacturing (AM, CAM, CNC)","Eleven Dynamics AG, Manukai",2,VC Fund,,,,
seed plus speed Ventures,"recamigpbUFSbKQvJ, rec2jnE2eVjXvEqqa","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","Eleven Dynamics AG, United Manufacturing Hub",2,VC Fund,,,,
EquityPitcher Ventures,"recamigpbUFSbKQvJ, recb3FOUsHyc9vwFh","Factory Futures (MES, IIOT), Design Intelligence (CAD)","Eleven Dynamics AG, Threedy",2,VC Fund,,,,
Will Smith,"recZIVMNgwbGGEapS, recbpJYXobrrvTmDu","Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD)","Collimator, Gravity Sketch",2,Individual,,,,
Sources:,"recZ86YHSbyTc91Fk, recl2sHNH1iBtTW8J","SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT)","AON3D, Acerta",2,Institutional Investors,,,,
MANA Ventures,"recZ86YHSbyTc91Fk, recizUovXfTjYfsqS","SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT)","AON3D, Guidewheel",2,VC Fund,,,,
Shinhan Investment,"recYo1lWfrlr1SZ7X, recosXany7h8XLntI","SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT)","Bright Machines, PRISM by Things, Inc.",2,Individual,,,,
EIT Digital Accelerator,"recb5KSNUNc1KsU26, reclPQmA4RUxEnaXG","Bleeding Edge BIM (AEC/BIM), Adaptive Manufacturing (AM, CAM, CNC)","Sablono, STILFOLD",2,Institutional Investors,,,,
Ridgeline Ventures,"recgq4Vry0fK1ip3p, rec8q5Gbe38rLHbrd","Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones)","AMESA (formerly Composabl), Ewake",2,Individual,,,,
Canaan Partners,"recf96EDF5e5xTQ3y, recxhL1LwIanxkUbp","SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD)","Dusty Robotics, nTop",2,Institutional Investors,,,,
European Commission,"recbpJYXobrrvTmDu, reckz5OAZf3rKWGP2","Design Intelligence (CAD), Factory Futures (MES, IIOT)","Gravity Sketch, Smartex.ai",2,Institutional Investors,,,,
Mucker Capital,"reciK5FjRB9MBXgpY, reclwEhs74kIaEbdm","Streamlined Supply Chain (SCM), Adaptive Manufacturing (AM, CAM, CNC)","SpecRight, DigiFabster",2,Institutional Investors,,,,
Moore Strategic Ventures,"recjuF67BCPrAXWap, reczjzXYBgUGpdPXn","Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT)","Epsilon3, Citrine Informatics",2,VC Fund,,,,
IVP (Institutional Venture Partners),"recdyBD0xEfMJTdFw, recCAm1lIBoVQBwkH","SW+HW=Innovation (Robotics, Drones), SW+HW=Innovation (Robotics, Drones)","Lumafield, Skydio",2,VC Fund,,,,
Thrive Capital,"recd4D9BVpunqKhpw, recqer84LiRhGjKzO","Design Intelligence (CAD), Factory Futures (MES, IIOT)","Shapr3D, Revel",2,Institutional Investors,,,,
eCoast Angels,"rechoCKwDSxe2G9tK, rec3iBvkrqRfdbTGK","Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT)","Flexxbotics, Canvas Envision",2,Angel,,,,
Episode 1,"rechkMUSJkV5O8ghn, recaw4HjtF9XdTUlV","Bleeding Edge BIM (AEC/BIM), Adaptive Manufacturing (AM, CAM, CNC)","Arcol, CloudNC",2,Institutional Investors,,,,
Cultivation Capital,"reccCzt75eapLDkpI, reco50LmmuaWkumKC","Extreme Analysis (CAE, CFD, FEA, QC), Cognitive Thread (PLM, MBSE, DT)","OnScale (aquired by ANSYS in 2022), CADchat (acquired by Court Square in 2025)",2,Institutional Investors,,,,
Soma Capital,"recjuF67BCPrAXWap, reclwEhs74kIaEbdm","Factory Futures (MES, IIOT), Adaptive Manufacturing (AM, CAM, CNC)","Epsilon3, DigiFabster",2,Institutional Investors,,,,
Grove,"rece6eTKyz5yqOB2X, recVVR4ECULirZ3nG","Factory Futures (MES, IIOT), Adaptive Manufacturing (AM, CAM, CNC)","OneLayer, LimitlessCNC",2,Institutional Investors,,,,
Build Collective,"recdyBD0xEfMJTdFw, reckz5OAZf3rKWGP2","SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT)","Lumafield, Smartex.ai",2,Individual,,,,
Unpopular Ventures,"recjtb0uz9MTyuK0I, recmF3dwee6Rf89pN","Design Intelligence (CAD), Design Intelligence (CAD)","Zoo, Hestus",2,VC Fund,,,,
10D,"recleLXYV3KP12GWX, recxJQWmfag1bxFNX","SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD)","Augury, Bananaz",2,Institutional Investors,,,,
HZG Group,"recnlp0KFiaDHUxsT, recwMMgnYSxHGGk1z","Adaptive Manufacturing (AM, CAM, CNC), SW+HW=Innovation (Robotics, Drones)","trinckle 3D Gmbh, Rapid Liquid Print",2,Individual,,,,
Nemetschek,"reco92rfqorVz9zCO, reczAQLzcfJZNJsoO","Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM)","Madaster Germany Gmbh, Reconstruct",2,Institutional Investors,,,,
Andreas Schwarzenbrunner,"recmTm2ReTxcWAB6r, recnkbO0g9K3v5d9w","SW+HW=Innovation (Robotics, Drones), Extreme Analysis (CAE, CFD, FEA, QC)","ARX Robotics, Emmi AI",2,Individual,,,,
Lightrock,"recleLXYV3KP12GWX, recqsUpkI4gSmuy8v","SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT)","Augury, Makersite Gmbh",2,Institutional Investors,,,,
Redpoint Ventures,"recoHaoznrMdKdC0L, recqer84LiRhGjKzO","Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT)","Anvyl (acquired by Sage in 2024), Revel",2,VC Fund,,,,
Omni Ventures,"recqL8SeR544BDj5H, reczBlP1JxThJXVQ5","Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT)","Drafter, Uptool",2,VC Fund,,,,
Tata Trusts (Foundation for Innovation and Social Entrepreneurship),"recqc0mM0ul4jyTkr, recBb81FPZCTSrkkT","Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM)","Voxelgrid, Planarific",2,Institutional Investors,,,,
H&M CO:LAB,"recr1AfIDc3742i8i, reckz5OAZf3rKWGP2","Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT)","Endra, Smartex.ai",2,Individual,,,,
Supernova Invest,"recq1cM1WaGFYQRY0, recftTc0SJcECws9k","Augmented Operations (MOM, CMMS, AR/VR, SLM), Cognitive Thread (PLM, MBSE, DT)","Scortex, Dessia",2,Individual,,,,
Partech,"recqsUpkI4gSmuy8v, recdL3awXnUmk45ka","Cognitive Thread (PLM, MBSE, DT), Cognitive Thread (PLM, MBSE, DT)","Makersite Gmbh, CO2 AI",2,Institutional Investors,,,,
Global Brain,"recosXany7h8XLntI, recjOnlRhYwt4JDzY","Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD)","PRISM by Things, Inc., CADDi",2,Individual,,,,
Shasta Ventures,"rectETKS0Dpcq47af, recN2yJRBKZFx3nV8","Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT)","Bild, Portainer.io",2,VC Fund,,,,
Battery Ventures,"recqf8yrsTl6r7As4, recudGZZRYAu3P70o","Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM)","Viam, BIM Track (acquired by Newforma in 2021)",2,VC Fund,,,,
Alven,"recq610lsAIpfbkVs, recCAkszHkQepFB1Y","Extreme Analysis (CAE, CFD, FEA, QC), Cognitive Thread (PLM, MBSE, DT)","Neural Concept, Carbonfact",2,Institutional Investors,,,,
Kompas VC,"recqsUpkI4gSmuy8v, rec2jnE2eVjXvEqqa","Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT)","Makersite Gmbh, United Manufacturing Hub",2,Individual,,,,
Notion Capital,"recr1AfIDc3742i8i, rec8q5Gbe38rLHbrd","Bleeding Edge BIM (AEC/BIM), SW+HW=Innovation (Robotics, Drones)","Endra, Ewake",2,Individual,,,,
Norrsken VC,"recr1AfIDc3742i8i, recJhAZ0JhaThOD9a","Bleeding Edge BIM (AEC/BIM), Augmented Operations (MOM, CMMS, AR/VR, SLM)","Endra, juna.ai",2,Individual,,,,
Fraunhofer Venture,"recu745gphuOWYDv3, recb3FOUsHyc9vwFh","Factory Futures (MES, IIOT), Design Intelligence (CAD)","Visometry, Threedy",2,VC Fund,,,,
Fidelity Investment,"recuv6DgeXnWlbges, rectuKApvYcNtWZHa","SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT)","Vention, Carbon",2,Individual,,,,
DCM Ventures,"recxhL1LwIanxkUbp, recjOnlRhYwt4JDzY","Design Intelligence (CAD), Design Intelligence (CAD)","nTop, CADDi",2,VC Fund,,,,
Drive Catalyst,"reczjzXYBgUGpdPXn, recVy9LhoGyNIYsAO","Cognitive Thread (PLM, MBSE, DT), Augmented Operations (MOM, CMMS, AR/VR, SLM)","Citrine Informatics, LandingAI",2,Individual,,,,
FIT Ventures,"recuQ3Nd6rYe8dfys, recjOnlRhYwt4JDzY","Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD)","Frontline.io, CADDi",2,VC Fund,,,,
Fifth Down Capital,"recuADye15JvSTfls, rec1pUFTPxpd8w2kn","Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD)","MaintainX, Arena",2,Institutional Investors,,,,
Tola Capital,"rec8q5Gbe38rLHbrd, rectETKS0Dpcq47af","SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT)","Ewake, Bild",2,Individual,,,,
Hub Angels,"rec8q5Gbe38rLHbrd, recAGGqJxE2LZGkQ4","SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT)","Ewake, Aletiq",2,Angel,,,,
Flexport Ventures,"recwnH2HEbWwKDgdC, reclwEhs74kIaEbdm","Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC)","VNTANA, DigiFabster",2,VC Fund,,,,
btov Partners,"recftTc0SJcECws9k, recgZWtVONBiPPrtt","Cognitive Thread (PLM, MBSE, DT), Augmented Operations (MOM, CMMS, AR/VR, SLM)","Dessia, Viso Suite",2,Individual,,,,
TCV,"recOs9vKlCvaFo6YZ, recTjnVK1MRM54KBf","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","Cognite, Squint",2,,,,,
Uncorrelated Ventures,"rec7yNihtGZQeUeT2, recdQm1UQsHkz0aXZ","Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC)","FlowFuse, Simr (formerly UberCloud)",2,,,,,
Senovo,"rec7yNihtGZQeUeT2, recnW7i4oaYQqB4gz","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","FlowFuse, HiveMQ",2,,,,,
No publicly disclosed investors found,"recPTlrrrYRjyL5T9, recu7m7nQf1qkRnQy","Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM)","ProductFlo, Dozuki (acquired by Marlin Equity Partners in 2021)",2,,,,,
aws Gründungsfonds,"recN5GrpTpcQxBVpu, recDm89yd7CSnFCGW","Bleeding Edge BIM (AEC/BIM), Cognitive Thread (PLM, MBSE, DT)","Optimuse, Violet Labs",2,Individual,,,,
Plug and Play Japan,"recNHMUKBX1nbYoBr, recvTZMETI2QaCr2N","Knowledge Engineering (R&D, Learning), Factory Futures (MES, IIOT)","TopoLogic, Inc, etalytics",2,,,,,
Goldman-Sachs,"recq610lsAIpfbkVs, recs0vaG0Y7k1cndM","Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM)","Neural Concept, Togal AI",2,,,,,
Export Development Canada (EDC),"recl2sHNH1iBtTW8J, recZ86YHSbyTc91Fk","Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones)","Acerta, AON3D",2,,,,,
Verve Ventures (Verve Capital Partners),"recv5CQRN7qfqQc2f, recBnRO6kZvbsuY88","Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT)","Archilyse (bankruptcy in 2023), 3YOURMIND",2,,,,,
Vanagon,"recef2LW9e2AxLMm1, recuH7CHKjYxM4zdS","SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD)","Holy Technologies, Bench",2,,,,,
Earlybird,"recnW7i4oaYQqB4gz, recu745gphuOWYDv3","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","HiveMQ, Visometry",2,,,,,
The Westly Group,"recTjnVK1MRM54KBf, recn6hvoRRdyDFRj1","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","Squint, Diagon",2,,,,,
Yorkshire AI Labs,"recIZ3g7RwHUX9Nnl, recGPGJCUVE8CufGk","Adaptive Manufacturing (AM, CAM, CNC), Knowledge Engineering (R&D, Learning)","DigitalCNC, IntelliAM (IPO in 2024)",2,,,,,
iqt (In‑Q‑Tel),"recY5fsh3fqYPfjxf, recxhL1LwIanxkUbp","Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD)","SPREAD, nTop",2,,,,,
Victor Riparbelli,"recdAkJS5ou96QoCb, rec8Km9DgdcmOLX2p","Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD)","Cusp AI, Morphorm",2,,,,,
Made Smarter,"rec9fXaDmGWIhcUkt, recyF4sX5KjbeYOpD","Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD)","Matrac, Infinitive (formerly CAE Tech)",2,,,,,
Koch Disruptive Technologies,"rece6eTKyz5yqOB2X, recG0V8gg3wGEf4mV","Factory Futures (MES, IIOT), Adaptive Manufacturing (AM, CAM, CNC)","OneLayer, Desktop Metal (acquired by Nano Dimension in 2025)",2,,,,,
U.S. Department of Defense (DoD),"recUBVrVX9YykFDiq, recM90ZDwemYnmoTf","Extreme Analysis (CAE, CFD, FEA, QC), Adaptive Manufacturing (AM, CAM, CNC)","Intact Solutions, Dyndrite",2,,,,,
Arash Ferdowsi,"recdAkJS5ou96QoCb, rec8Km9DgdcmOLX2p","Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD)","Cusp AI, Morphorm",2,,,,,
Durk Kingma,"recdAkJS5ou96QoCb, rec8Km9DgdcmOLX2p","Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD)","Cusp AI, Morphorm",2,,,,,
Epic Games,"recESyb3roG7FIDwh, recXEBRKiIplMHT2E","Design Intelligence (CAD), Bleeding Edge BIM (AEC/BIM)","CLO Virtual Fashion, AeroAI",2,,,,,
Zürcher Kantonalbank (ZKB),"recv5CQRN7qfqQc2f, recamigpbUFSbKQvJ","Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT)","Archilyse (bankruptcy in 2023), Eleven Dynamics AG",2,,,,,
Zoubin Ghahramani (DeepMind VP Research),"rec8Km9DgdcmOLX2p, recdAkJS5ou96QoCb","Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT)","Morphorm, Cusp AI",2,,,,,
GE Ventures (General Electric),"recH1QeSuLuNioBVb, recG0V8gg3wGEf4mV","Factory Futures (MES, IIOT), Adaptive Manufacturing (AM, CAM, CNC)","Sight Machine, Desktop Metal (acquired by Nano Dimension in 2025)",2,,,,,
GoHub Ventures,rec7BPd1RqXwEK3Nc,"Factory Futures (MES, IIOT)",Barbara,1,VC Fund,recU1YJoGryeFr55v,Guillermo Flor,,
Desile Group,rec8q5Gbe38rLHbrd,"SW+HW=Innovation (Robotics, Drones)",Ewake,1,Individual,recxyb1zQq3zGOaif,Adeo Ressi,,
InNegev,recValXCC0eAekqwS,Design Intelligence (CAD),CustoMED,1,Institutional Investors,,,,
Social Capital,recwnMUFBvpaFSO0t,Design Intelligence (CAD),Spectral Labs,1,Institutional Investors,,,,
Samsung Next,recwnMUFBvpaFSO0t,Design Intelligence (CAD),Spectral Labs,1,Individual,,,,
Polychain Capital,recwnMUFBvpaFSO0t,Design Intelligence (CAD),Spectral Labs,1,Institutional Investors,,,,
Galaxy Digital,recwnMUFBvpaFSO0t,Design Intelligence (CAD),Spectral Labs,1,Individual,,,,
ParaFi Capital,recwnMUFBvpaFSO0t,Design Intelligence (CAD),Spectral Labs,1,Institutional Investors,,,,
Pravega Ventures,recQfRVftY0SHGTyK,"Factory Futures (MES, IIOT)",Leucine,1,VC Fund,,,,
Axilor Ventures,recQfRVftY0SHGTyK,"Factory Futures (MES, IIOT)",Leucine,1,VC Fund,,,,
CVX Ventures,rec8q5Gbe38rLHbrd,"SW+HW=Innovation (Robotics, Drones)",Ewake,1,VC Fund,,,https://www.linkedin.com/company/cvxventures/,"Rounds: Seed, Growth
Investment Focus: Consumer HW
Website: https://cvx.vc/"
Navitas Workshop Ventures,recWv29Y7nVGYGmsI,Bleeding Edge BIM (AEC/BIM),WorkHero,1,VC Fund,,,,
Banneke Partners,recclqhy1mEeilUHS,"Adaptive Manufacturing (AM, CAM, CNC)",Productive Machines,1,Institutional Investors,recriU5rsswfJupDZ,Harjot Sachdeva,,"Key Target: PE Acquisition
Target Companies:
Revenues between $5-25M
no VC raise since 2020"
Bison VC,rec8q5Gbe38rLHbrd,"SW+HW=Innovation (Robotics, Drones)",Ewake,1,Individual,recFnM8cID0zRNqYz,Caleb Appleton,,
Peter Schroer,rechoCKwDSxe2G9tK,"Factory Futures (MES, IIOT)",Flexxbotics,1,Individual,,,,
Advanced Research + Invention Agency,rec3858RhxkzPlxyn,Design Intelligence (CAD),MorphoAI,1,Institutional Investors,,,,
Matthew Macfarlane,rec5uzaox6Nhg9WAb,Bleeding Edge BIM (AEC/BIM),Nyfty.ai,1,Individual,,,,
BIRD Foundation,rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,Individual,,,,
MMC Ventures,rec6N4HoEmigpoSvS,"Factory Futures (MES, IIOT)",Quix,1,VC Fund,,,,
Edison Technology Incubator,rec3uw9EqGsyRobh6,"Adaptive Manufacturing (AM, CAM, CNC)",ABĒMIS llc,1,Institutional Investors,,,,
Rick Bullotta,rec4OaeUERIJ0kgak,"Factory Futures (MES, IIOT)",OpsMate,1,Individual,,,,
Start it @KBC,rec4tbXVepmeZP90k,"Extreme Analysis (CAE, CFD, FEA, QC)",Airshaper,1,Institutional Investors,,,,
First Fellow Partners,rec28SOjjteSQr185,"Extreme Analysis (CAE, CFD, FEA, QC)",Quanscient,1,Institutional Investors,,,,
Berliner Startup Stipendium an der BHT,rec32WwqMZqtdpWzd,"Extreme Analysis (CAE, CFD, FEA, QC)",Dive CAE,1,Institutional Investors,,,,
Prime Movers Lab,rec1hrXgdMxRL0oqE,"Knowledge Engineering (R&D, Learning)",polySpectra (neThing.xyz),1,Individual,,,,
Cross Atlantic Angels,rec3ldQvQ6ldnxAkO,"Factory Futures (MES, IIOT)",Assemblio,1,Angel,,,,
July Fund,rec30mNzF0ceoy5A2,"Extreme Analysis (CAE, CFD, FEA, QC)",PhysicsX,1,Institutional Investors,,,,
Pangaea Ventures,rec1hrXgdMxRL0oqE,"Knowledge Engineering (R&D, Learning)",polySpectra (neThing.xyz),1,VC Fund,,,,
Celesta Capital,rec006zDUA2UnqhQP,"Factory Futures (MES, IIOT)",Quartic.ai,1,Institutional Investors,,,,
Harmonix Fund,rec1hrXgdMxRL0oqE,"Knowledge Engineering (R&D, Learning)",polySpectra (neThing.xyz),1,Institutional Investors,,,,
LEA Partners,rec3ldQvQ6ldnxAkO,"Factory Futures (MES, IIOT)",Assemblio,1,Institutional Investors,,,,
Henry Kravis,rec30mNzF0ceoy5A2,"Extreme Analysis (CAE, CFD, FEA, QC)",PhysicsX,1,Individual,,,,
Hi Inov,rec2NKIsqM6jSFnHp,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",InUse,1,Individual,,,,
Mikko Suonenlahti,rec28SOjjteSQr185,"Extreme Analysis (CAE, CFD, FEA, QC)",Quanscient,1,Individual,,,,
Ganas Ventures,rec5ISfQqNHsx05RF,"SW+HW=Innovation (Robotics, Drones)",Toolhouse.Build,1,VC Fund,,,,
Cthulhu Ventures,rec1hrXgdMxRL0oqE,"Knowledge Engineering (R&D, Learning)",polySpectra (neThing.xyz),1,VC Fund,,,,
Tirta Ventures,rec5nixfNkgLmUi8W,Design Intelligence (CAD),Common Sense Machines,1,VC Fund,,,,
Business Finland,rec28SOjjteSQr185,"Extreme Analysis (CAE, CFD, FEA, QC)",Quanscient,1,Individual,,,,
Leblon Capital,rec1hrXgdMxRL0oqE,"Knowledge Engineering (R&D, Learning)",polySpectra (neThing.xyz),1,Institutional Investors,,,,
Blindspot Ventures,rec5nixfNkgLmUi8W,Design Intelligence (CAD),Common Sense Machines,1,VC Fund,,,,
Ben Armstrong,rec5uzaox6Nhg9WAb,Bleeding Edge BIM (AEC/BIM),Nyfty.ai,1,Individual,,,,
Chartered Group (The Chartered Group),rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,Institutional Investors,,,,
Great Lakes Innovation and Development Enterprise (GLIDE),rec3uw9EqGsyRobh6,"Adaptive Manufacturing (AM, CAM, CNC)",ABĒMIS llc,1,Institutional Investors,,,,
Jared Friedman,rec2QZQEyHoyAspgF,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Zelos Cloud,1,Individual,,,,
Michael Marks,rec006zDUA2UnqhQP,"Factory Futures (MES, IIOT)",Quartic.ai,1,Individual,,,,
Ian Hogarth,rec6N4HoEmigpoSvS,"Factory Futures (MES, IIOT)",Quix,1,Individual,,,,
Integra,rec3ldQvQ6ldnxAkO,"Factory Futures (MES, IIOT)",Assemblio,1,Institutional Investors,,,,
Sofinnova,rec4Ixgf8O1b6mlk4,Streamlined Supply Chain (SCM),Poka Labs,1,Institutional Investors,,,,
Mendoza Ventures,rec3iBvkrqRfdbTGK,"Cognitive Thread (PLM, MBSE, DT)",Canvas Envision,1,VC Fund,,,,
Unreasonable Impact,rec528toX065bQFMp,"SW+HW=Innovation (Robotics, Drones)",Variant3D,1,Individual,,,,
Falling Walls Venture,rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,VC Fund,,,,
Sam Cash,rec6N4HoEmigpoSvS,"Factory Futures (MES, IIOT)",Quix,1,Individual,,,,
Maki.vc,rec28SOjjteSQr185,"Extreme Analysis (CAE, CFD, FEA, QC)",Quanscient,1,VC Fund,,,,
Frank Sagnier,rec6N4HoEmigpoSvS,"Factory Futures (MES, IIOT)",Quix,1,Individual,,,,
Sriram Viswanathan,rec006zDUA2UnqhQP,"Factory Futures (MES, IIOT)",Quartic.ai,1,Individual,,,,
Yu Galaxy,rec1hrXgdMxRL0oqE,"Knowledge Engineering (R&D, Learning)",polySpectra (neThing.xyz),1,Individual,,,,
Mark Cranney,rec4OaeUERIJ0kgak,"Factory Futures (MES, IIOT)",OpsMate,1,Individual,,,,
Lorain County Chamber of Commerce,rec3uw9EqGsyRobh6,"Adaptive Manufacturing (AM, CAM, CNC)",ABĒMIS llc,1,Institutional Investors,,,,
Omidyar Technology Ventures,rec5nixfNkgLmUi8W,Design Intelligence (CAD),Common Sense Machines,1,VC Fund,,,,
MK Capital,rec154SwmlecINzLT,"Cognitive Thread (PLM, MBSE, DT)",Uncountable,1,Institutional Investors,,,,
Break Trail Ventures,rec528toX065bQFMp,"SW+HW=Innovation (Robotics, Drones)",Variant3D,1,VC Fund,,,,
