Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
Global Brain Ventures,recVqn8f7uNVGdq6l,"Factory Futures (MES, IIOT)",BaseTwo,1,VC Fund,,,,
Georges Khneysser,recWKfTPM9oZtZJDn,"Adaptive Manufacturing (AM, CAM, CNC)",Manukai,1,Individual,,,,
Third Sphere,recUKS2KAJqrCB4zk,Design Intelligence (CAD),Reynko,1,Individual,,,,
Cavalry Ventures,recY5fsh3fqYPfjxf,"Cognitive Thread (PLM, MBSE, DT)",SPREAD,1,VC Fund,,,,
Airtree Ventures,recY1w35R3PXfXsjm,"Extreme Analysis (CAE, CFD, FEA, QC)",Phasio,1,VC Fund,,,,
Cindy Lawry,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,Individual,,,,
Icon Ventures,recWZxiMHsbcRa0bH,"Cognitive Thread (PLM, MBSE, DT)",Istari Digital,1,VC Fund,,,,
Reliance Retail,recS8MoNV9cbjkfJq,"SW+HW=Innovation (Robotics, Drones)",Addverb (acquired by Reliance Retail Ventures Ltd in 2022),1,Individual,,,,
Polymath Company,recVFr3ofOgSo0Maf,"Adaptive Manufacturing (AM, CAM, CNC)",SeekMake,1,Institutional Investors,,,,
James Cameron,recY1w35R3PXfXsjm,"Extreme Analysis (CAE, CFD, FEA, QC)",Phasio,1,Individual,,,,
IDG Capital,recVE5W6nsf7RqHqK,"SW+HW=Innovation (Robotics, Drones)",Mech-Mind Robotics,1,Institutional Investors,,,,
Mohamed Siddeek,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,Individual,,,,
Venture Lab,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,VC Fund,,,,
Gattaca Ventures,recY1w35R3PXfXsjm,"Extreme Analysis (CAE, CFD, FEA, QC)",Phasio,1,VC Fund,,,,
REMUS Capital,recXnPYUVun4MOI0k,Streamlined Supply Chain (SCM),CoFactr,1,Institutional Investors,,,,
