Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
Bill Gates,Fictiv (Acquired by MISUMI in 2025),1,"""Factory Futures (MES, IIOT)""",,,,,
Asahi Kasei (Asahi Kasei Engineering Plastics),Castor (filed for bankruptcy in 2025),1,"""Factory Futures (MES, IIOT)""",,,,,
also in Series B),PhysicsX,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
Sustainable Future Ventures,United Manufacturing Hub,1,"""Factory Futures (MES, IIOT)""",,,,,
and 2 others,Secondmind,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
High-Tech Gruenderfonds,Samp,1,"""Factory Futures (MES, IIOT)""",,,,,
Visiativ,Fabera,1,"""Factory Futures (MES, IIOT)""",,,,,Individual
founded year and funding not disclosed,Wailand,1,"""Factory Futures (MES, IIOT)""",,,,,
Rule 1.45 / 1200 sites,Fuuz,1,"""Factory Futures (MES, IIOT)""",,,,,
Mitsubishi HC Capitol,Formic,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Private Investors,Neuramill,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
others,Optimuse,1,Bleeding Edge BIM (AEC/BIM),,,,,
Mirae Asset Venture Investment,CLO Virtual Fashion,1,Design Intelligence (CAD),,,,,
Atlantic Labs,juna.ai,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Superangel,OTee,1,"""Factory Futures (MES, IIOT)""",,,,,
Promus Ventures,Samp,1,"""Factory Futures (MES, IIOT)""",,,,,
Momenta VC,MatAlytics,1,"""Factory Futures (MES, IIOT)""",,,,,
Open Core Ventures,FlowFuse,1,"""Factory Futures (MES, IIOT)""",,,,,
No major investors found likely bootstrapped or angel-funded,Feather Solutions,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
None — cmBuilder reported as unfunded (no public investors found).,cmBuilder.io,1,Bleeding Edge BIM (AEC/BIM),,,,,
None — no publicly disclosed investors found.,Redwood EDA,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
RunwayFBU,OTee,1,"""Factory Futures (MES, IIOT)""",,,,,
BUILDING RESEARCH ESTABLISHMENT LIMITED,Planarific,1,Bleeding Edge BIM (AEC/BIM),,,,,
Flybridge,Nextmv,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Ethereum Classic Labs,AnyLog,1,"""Factory Futures (MES, IIOT)""",,,,,
Bright Pixel Capital,Portainer.io,1,"""Factory Futures (MES, IIOT)""",,,,,
Industrial Angels,Ausmosys,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Mitsubishi UFJ Capital (MUFG),Rescale,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
BlackNova,Portainer.io,1,"""Factory Futures (MES, IIOT)""",,,,,
NVentures and others,Lila,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
OTB Ventures,juna.ai,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Suffolk Technologies and others,Augmenta,1,Bleeding Edge BIM (AEC/BIM),,,,,
Eric Menoret.,Key Ward,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
Early Stage VCs,Ausmosys,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Ibex Investors,Chemix,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
and others.,Morphorm,1,Design Intelligence (CAD),,,,,
No publicly disclosed investors identified,Santinela,1,"""Factory Futures (MES, IIOT)""",,,,,
Design-focused angels,Vizcom,1,Design Intelligence (CAD),,,,,
TRG,Rescale,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
Sony Innovation Fund,Phaidra,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Aker ASA,Cognite,1,"""Factory Futures (MES, IIOT)""",,,,,
University of Nottingham,MatAlytics,1,"""Factory Futures (MES, IIOT)""",,,,,
Amplify Partners and others,Foxglove,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Hazelview Ventures,Augmenta,1,Bleeding Edge BIM (AEC/BIM),,,,,
Iberis Capital and others,Inductiva,1,"""Knowledge Engineering (R&D, Learning)""",,,,,
Initialized,Formic,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Felicis Ventures.,Violet Labs,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Koch Industries,Desktop Metal (acquired by Nano Dimension in 2025),1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
Transpose,Tellia,1,"""Factory Futures (MES, IIOT)""",,,,,
BITO CAMPUS,Flyingshapes Gmbh,1,Design Intelligence (CAD),,,,,
Nvidia Inception,Rescale,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
M13,CAD as Code,1,Design Intelligence (CAD),,,,,
Green Generation Fund,juna.ai,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Group of angel investors,Allspice.io,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
BOW TIE CONSTRUCTION LTD,Planarific,1,Bleeding Edge BIM (AEC/BIM),,,,,
WestBridge Capital,UptimeAI,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
EthAum,AnyLog,1,"""Factory Futures (MES, IIOT)""",,,,,
Fortino Capital (lead),Tanso,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Origin Ventures Forward Deployed VC 25madison Matchstick Ventures Barrel Ventures Plow Ventures,Silkline,1,Streamlined Supply Chain (SCM),,,,,
Deep tech CAE funding with enterprise focus,Akselos,1,"""Factory Futures (MES, IIOT)""",,,,,
Nvidia’s NVentures,Morphorm,1,Design Intelligence (CAD),,,,,
INNOVACOM,Samp,1,"""Factory Futures (MES, IIOT)""",,,,,
Mayfield and others,Chemix,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
ISB WFT Innovationsfonds Rheinland-Pfalz II,Flyingshapes Gmbh,1,Design Intelligence (CAD),,,,,
Inverted Ventures.,Violet Labs,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
