Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
Bee Partners,"C-Infinity,Drafter",2,"Design Intelligence (CAD),Design Intelligence (CAD)",,,,,Institutional Investors
Foundamental,"Speckle,SnapTrude",2,"Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM)",,,,,Institutional Investors
Marlinspike,"Pictorus,Hanomi AI",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD)",,,,,Institutional Investors
Northgate Capital,"Covariant (acquired by Amazon Robotics in 2024),Carbon",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Founderful,"EthonAI,Saeki",2,"""Factory Futures (MES, IIOT)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Institutional Investors
NASA,"Boltline,Novineer",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD)",,,,,Institutional Investors
S3 Ventures,"Sudozi,ControlRooms.ai",2,"Streamlined Supply Chain (SCM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,VC Fund
La Famiglia,"EthonAI,SPREAD",2,"""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Andre Retterath,"EthonAI,CELUS",2,"""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Epic Games,"CLO Virtual Fashion,AeroAI",2,"Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM)",,,,,Individual
Madrona,"Uptake,Zoo",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD)",,,,,Institutional Investors
Alexis Ohanian,"Boltline,Rescale",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
Breakthrough Energy Ventures,"Boltline,Guidewheel",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)""",,,,,VC Fund
Canada Pension Plan Investment Board (CPP Investments),"Covariant (acquired by Amazon Robotics in 2024),LandingAI",2,"""Factory Futures (MES, IIOT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Institutional Investors
Stratasys,"Desktop Metal (acquired by Nano Dimension in 2025),Axial3D",2,"""Adaptive Manufacturing (AM, CAM, CNC)"",Design Intelligence (CAD)",,,,,Institutional Investors
Jeff Dean,"Covariant (acquired by Amazon Robotics in 2024),P-1 AI",2,"""Factory Futures (MES, IIOT)"",Design Intelligence (CAD)",,,,,Individual
Koch Disruptive Technologies (KDT),"Desktop Metal (acquired by Nano Dimension in 2025),OneLayer",2,"""Adaptive Manufacturing (AM, CAM, CNC)"",""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Pascal Unger,"Geminus.ai,Drafter",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD)",,,,,Individual
Global Founders Capital,"Boltline,Convai",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Institutional Investors
GE Ventures,"Desktop Metal (acquired by Nano Dimension in 2025),Sight Machine",2,"""Adaptive Manufacturing (AM, CAM, CNC)"",""Factory Futures (MES, IIOT)""",,,,,VC Fund
DMG MORI,"Tulip Interfaces,up2parts GmbH",2,"""Factory Futures (MES, IIOT)"",""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Individual
Peter Bordes,"Rescale,Machina Labs",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Microsoft,"Rescale,Bright Machines",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Institutional Investors
Yuri Milner,"Rescale,Carbon",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)""",,,,,Individual
AlleyCorp,"Glacier,AON3D",2,"""SW+HW=Innovation (Robotics, Drones)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Institutional Investors
Quiet Capital,"Rescale,BaseTwo",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Backed VC,"Flow Engineering,CloudNC",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Individual
E14 Fund,"Tulip Interfaces,EverCurrent",2,"""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Institutional Investors
Asahi Kasei Corporate Venture Capital,"Sight Machine,Castor (filed for bankruptcy in 2025)",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,VC Fund
Keen Venture Partners,"Rescale,Azumuta",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)""",,,,,VC Fund
Two Roads Group,"Sight Machine,Rescale",2,"""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
SV Angel,"Rescale,AON3D",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Angel
Activum SG,"XYZ Reality,Swapp",2,"Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM)",,,,,Individual
KfW,"Synera,trinckle 3D Gmbh",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Institutional Investors
XTX Ventures,"Swapp,CloudNC",2,"Bleeding Edge BIM (AEC/BIM),""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,VC Fund
Adara Ventures,"XYZ Reality,Visure Solutions",2,"Bleeding Edge BIM (AEC/BIM),""Cognitive Thread (PLM, MBSE, DT)""",,,,,VC Fund
Samsung Catalyst Fund,"Rescale,LandingAI",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Institutional Investors
SineWave Ventures,"Rescale,AON3D",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Rethink Impact,"Allspice.io,Guidewheel",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)""",,,,,Individual
Fortino,"Flowlity,Tanso",2,"Streamlined Supply Chain (SCM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Institutional Investors
Origin Ventures,"ControlRooms.ai,Silkline",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Streamlined Supply Chain (SCM)",,,,,VC Fund
Cota Capital,"Dyndrite,FlowFuse",2,"""Adaptive Manufacturing (AM, CAM, CNC)"",""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
HTGF,"Elevating Patterns,Matchory",2,"""Cognitive Thread (PLM, MBSE, DT)"",Streamlined Supply Chain (SCM)",,,,,Institutional Investors
OurCrowd,"MaterialsZone,Leo AI",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD)",,,,,Institutional Investors
Caffeinated Capital,"Open Orion,BaseTwo",2,"Design Intelligence (CAD),""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Charlie Songhurst,"DGG - The 3D Pipeline Company,SysGit",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
DNX Ventures,"Allspice.io,CoFactr",2,"""Cognitive Thread (PLM, MBSE, DT)"",Streamlined Supply Chain (SCM)",,,,,VC Fund
Salesforce Ventures,"Laminar,Propel Software",2,"""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,VC Fund
GGV Capital,"TDEngine,Flexcompute",2,"""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
Rough Draft Ventures,"Plasticity,AirWorks",2,"Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM)",,,,,VC Fund
3VC,"DGG - The 3D Pipeline Company,Emmi AI",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,VC Fund
Aerospace Xelerated,"Authentise,ToffeeX",2,"""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
U.S. Department of Defense,"Dyndrite,Intact Solutions",2,"""Adaptive Manufacturing (AM, CAM, CNC)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
Meron Capital,"Laminar,LimitlessCNC",2,"""Factory Futures (MES, IIOT)"",""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Institutional Investors
42CAP,"Flowlity,Fuzzy Logic Robotics",2,"Streamlined Supply Chain (SCM),""SW+HW=Innovation (Robotics, Drones)""",,,,,Institutional Investors
Amity Ventures,"ControlRooms.ai,MaintainX",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,VC Fund
Gradient Ventures,"Dyndrite,OnScale (aquired by ANSYS in 2022)",2,"""Adaptive Manufacturing (AM, CAM, CNC)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,VC Fund
Ecolab,"Leucine,Guidewheel",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Counterpart Ventures,"Pico MES,InfinitForm",2,"""Factory Futures (MES, IIOT)"",Design Intelligence (CAD)",,,,,VC Fund
Lemnos,"Pico MES,Built Robotics",2,"""Factory Futures (MES, IIOT)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Institutional Investors
Real Ventures,"MosaicMFG,Vention",2,"""SW+HW=Innovation (Robotics, Drones)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Collaborative Fund,"Reynko,Phaidra",2,"Design Intelligence (CAD),""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Institutional Investors
Bloomberg Beta,"camfer,Bright Machines",2,"Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Eric Schmidt,"Istari Digital,Citrine Informatics",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Coatue Management,"Mech-Mind Robotics,Flexcompute",2,"""SW+HW=Innovation (Robotics, Drones)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
Office of Naval Research (ONR),"Intact Solutions,Novineer",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD)",,,,,Institutional Investors
Ajay Agarwal,"CoFactr,Vention",2,"Streamlined Supply Chain (SCM),""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Broom Ventures,"CoFactr,Epsilon3",2,"Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)""",,,,,VC Fund
Dylan Field,"SPREAD,Lumafield",2,"""Cognitive Thread (PLM, MBSE, DT)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Point Nine,"Overview AI,Gravity Sketch",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD)",,,,,Individual
Octave Fund,"camfer,Collimator",2,"Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
European Union,"Threedy,1000 Kelvin",2,"Design Intelligence (CAD),""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Individual
Creandum,"Plans,Shapr3D",2,"Bleeding Edge BIM (AEC/BIM),Design Intelligence (CAD)",,,,,Institutional Investors
Gutbrain Ventures,"Sense,aPriori",2,"Bleeding Edge BIM (AEC/BIM),Design Intelligence (CAD)",,,,,VC Fund
Inovia Capital,"AON3D,Bench",2,"""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD)",,,,,Institutional Investors
SVB Financial Group,"Bright Machines,Acerta",2,"""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)""",,,,,Individual
MacKinnon,"Sense,Voxshell",2,"Bleeding Edge BIM (AEC/BIM),""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
EXIST,"Threedy,Synera",2,"Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
IQ Capital,"ToffeeX,Sana (acquired by Workday in 2025)",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Knowledge Engineering (R&D, Learning)""",,,,,Institutional Investors
Bloomhaus Ventures,"Eleven Dynamics AG,Manukai",2,"""Factory Futures (MES, IIOT)"",""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,VC Fund
seed plus speed Ventures,"Eleven Dynamics AG,United Manufacturing Hub",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,VC Fund
EquityPitcher Ventures,"Eleven Dynamics AG,Threedy",2,"""Factory Futures (MES, IIOT)"",Design Intelligence (CAD)",,,,,VC Fund
Will Smith,"Collimator,Gravity Sketch",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD)",,,,,Individual
Sources:,"AON3D,Acerta",2,"""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
MANA Ventures,"AON3D,Guidewheel",2,"""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)""",,,,,VC Fund
Shinhan Investment,"Bright Machines,""PRISM by Things, Inc.""",2,"""SW+HW=Innovation (Robotics, Drones)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
EIT Digital Accelerator,"Sablono,STILFOLD",2,"Bleeding Edge BIM (AEC/BIM),""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Institutional Investors
Ridgeline Ventures,"AMESA (formerly Composabl),Ewake",2,"""Factory Futures (MES, IIOT)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Canaan Partners,"Dusty Robotics,nTop",2,"""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD)",,,,,Institutional Investors
European Commission,"Gravity Sketch,Smartex.ai",2,"Design Intelligence (CAD),""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Durk Kingma (OpenAI co‑founder),"Cusp AI,Morphorm",2,"""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD)",,,,,Institutional Investors
Mucker Capital,"SpecRight,DigiFabster",2,"Streamlined Supply Chain (SCM),""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Institutional Investors
Moore Strategic Ventures,"Epsilon3,Citrine Informatics",2,"""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,VC Fund
IVP (Institutional Venture Partners),"Lumafield,Skydio",2,"""SW+HW=Innovation (Robotics, Drones)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Thrive Capital,"Shapr3D,Revel",2,"Design Intelligence (CAD),""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
eCoast Angels,"Flexxbotics,Canvas Envision",2,"""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Angel
Episode 1,"Arcol,CloudNC",2,"Bleeding Edge BIM (AEC/BIM),""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Institutional Investors
Cultivation Capital,"OnScale (aquired by ANSYS in 2022),CADchat (acquired by Court Square in 2025)",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Institutional Investors
Soma Capital,"Epsilon3,DigiFabster",2,"""Factory Futures (MES, IIOT)"",""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Institutional Investors
Grove,"OneLayer,LimitlessCNC",2,"""Factory Futures (MES, IIOT)"",""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Institutional Investors
Build Collective,"Lumafield,Smartex.ai",2,"""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)""",,,,,Individual
Unpopular Ventures,"Zoo,Hestus",2,"Design Intelligence (CAD),Design Intelligence (CAD)",,,,,VC Fund
10D,"Augury,Bananaz",2,"""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD)",,,,,Institutional Investors
HZG Group,"trinckle 3D Gmbh,Rapid Liquid Print",2,"""Adaptive Manufacturing (AM, CAM, CNC)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Nemetschek,"Madaster Germany Gmbh,Reconstruct",2,"Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM)",,,,,Institutional Investors
Andreas Schwarzenbrunner,"ARX Robotics,Emmi AI",2,"""SW+HW=Innovation (Robotics, Drones)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
Lightrock,"Augury,Makersite Gmbh",2,"""SW+HW=Innovation (Robotics, Drones)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Institutional Investors
Redpoint Ventures,"Anvyl (acquired by Sage in 2024),Revel",2,"Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)""",,,,,VC Fund
Omni Ventures,"Drafter,Uptool",2,"Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)""",,,,,VC Fund
Tata Trusts (Foundation for Innovation and Social Entrepreneurship),"Voxelgrid,Planarific",2,"Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM)",,,,,Institutional Investors
H&M CO:LAB,"Endra,Smartex.ai",2,"Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)""",,,,,Individual
Supernova Invest,"Scortex,Dessia",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Partech,"Makersite Gmbh,CO2 AI",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Institutional Investors
Global Brain,"""PRISM by Things, Inc."",CADDi",2,"""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD)",,,,,Individual
Shasta Ventures,"Bild,Portainer.io",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)""",,,,,VC Fund
Battery Ventures,"Viam,BIM Track (acquired by Newforma in 2021)",2,"""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM)",,,,,VC Fund
Alven,"Neural Concept,Carbonfact",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Institutional Investors
Kompas VC,"Makersite Gmbh,United Manufacturing Hub",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)""",,,,,Individual
Notion Capital,"Endra,Ewake",2,"Bleeding Edge BIM (AEC/BIM),""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Norrsken VC,"Endra,juna.ai",2,"Bleeding Edge BIM (AEC/BIM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Individual
Fraunhofer Venture,"Visometry,Threedy",2,"""Factory Futures (MES, IIOT)"",Design Intelligence (CAD)",,,,,VC Fund
Fidelity Investment,"Vention,Carbon",2,"""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)""",,,,,Individual
DCM Ventures,"nTop,CADDi",2,"Design Intelligence (CAD),Design Intelligence (CAD)",,,,,VC Fund
Drive Catalyst,"Citrine Informatics,LandingAI",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Individual
FIT Ventures,"Frontline.io,CADDi",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD)",,,,,VC Fund
Fifth Down Capital,"MaintainX,Arena",2,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD)",,,,,Institutional Investors
Tola Capital,"Ewake,Bild",2,"""SW+HW=Innovation (Robotics, Drones)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Hub Angels,"Ewake,Aletiq",2,"""SW+HW=Innovation (Robotics, Drones)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,Angel
Flexport Ventures,"VNTANA,DigiFabster",2,"Design Intelligence (CAD),""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,VC Fund
btov Partners,"Dessia,Viso Suite",2,"""Cognitive Thread (PLM, MBSE, DT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Individual
Yorkshire Labs AI,"IntelliAM (IPO in 2024),DigitalCNC",2,"""Knowledge Engineering (R&D, Learning)"",""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
TCV,"Cognite,Squint",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,
Uncorrelated Ventures,"FlowFuse,Simr (formerly UberCloud)",2,"""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
Senovo,"FlowFuse,HiveMQ",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,
No publicly disclosed investors found,"ProductFlo,Dozuki (acquired by Marlin Equity Partners in 2021)",2,"""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM)",,,,,
aws Gründungsfonds,"Optimuse,Violet Labs",2,"Bleeding Edge BIM (AEC/BIM),""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Plug and Play Japan,"""TopoLogic, Inc"",etalytics",2,"""Knowledge Engineering (R&D, Learning)"",""Factory Futures (MES, IIOT)""",,,,,
Goldman-Sachs,"Neural Concept,Togal AI",2,"""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM)",,,,,
Caixa Capital Risc,"Barbara,Barbara",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,
Export Development Canada (EDC),"Acerta,AON3D",2,"""Factory Futures (MES, IIOT)"",""SW+HW=Innovation (Robotics, Drones)""",,,,,
Verve Ventures (Verve Capital Partners),"Archilyse (bankruptcy in 2023),3YOURMIND",2,"Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)""",,,,,
Vanagon,"Holy Technologies,Bench",2,"""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD)",,,,,
IQT (In-Q-Tel),"nTop,SPREAD",2,"Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Earlybird,"HiveMQ,Visometry",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,
Made Smarter (Made Smarter Innovation / Smart Factory),"Infinitive (formerly CAE Tech),Matrac",2,"Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Arash Ferdowsi,"Cusp AI,Morphorm",2,"""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD)",,,,,
Zürcher Kantonalbank (ZKB),"Archilyse (bankruptcy in 2023),Eleven Dynamics AG",2,"Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)""",,,,,
The Westly Group,"Squint,Diagon",2,"""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)""",,,,,
GoHub Ventures,Barbara,1,"""Factory Futures (MES, IIOT)""",,,,Guillermo Flor,VC Fund
Desile Group,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,Adeo Ressi,Individual
InNegev,CustoMED,1,Design Intelligence (CAD),,,,,Institutional Investors
Social Capital,Spectral Labs,1,Design Intelligence (CAD),,,,,Institutional Investors
Samsung Next,Spectral Labs,1,Design Intelligence (CAD),,,,,Individual
Polychain Capital,Spectral Labs,1,Design Intelligence (CAD),,,,,Institutional Investors
Galaxy Digital,Spectral Labs,1,Design Intelligence (CAD),,,,,Individual
ParaFi Capital,Spectral Labs,1,Design Intelligence (CAD),,,,,Institutional Investors
Pravega Ventures,Leucine,1,"""Factory Futures (MES, IIOT)""",,,,,VC Fund
Axilor Ventures,Leucine,1,"""Factory Futures (MES, IIOT)""",,,,,VC Fund
CVX Ventures,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",https://www.linkedin.com/company/cvxventures/,,"Rounds: Seed, Growth
Investment Focus: Consumer HW
Website: https://cvx.vc/",,VC Fund
Navitas Workshop Ventures,WorkHero,1,Bleeding Edge BIM (AEC/BIM),,,,,VC Fund
Banneke Partners,Productive Machines,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,"Key Target: PE Acquisition
Target Companies:
Revenues between $5-25M
no VC raise since 2020",Harjot Sachdeva,Institutional Investors
Bison VC,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,Caleb Appleton,Individual
Peter Schroer,Flexxbotics,1,"""Factory Futures (MES, IIOT)""",,,,,Individual
Advanced Research + Invention Agency,MorphoAI,1,Design Intelligence (CAD),,,,,Institutional Investors
Matthew Macfarlane,Nyfty.ai,1,Bleeding Edge BIM (AEC/BIM),,,,,Individual
BIRD Foundation,Castor (filed for bankruptcy in 2025),1,"""Factory Futures (MES, IIOT)""",,,,,Individual
MMC Ventures,Quix,1,"""Factory Futures (MES, IIOT)""",,,,,VC Fund
Edison Technology Incubator,ABĒMIS llc,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Institutional Investors
Rick Bullotta,OpsMate,1,"""Factory Futures (MES, IIOT)""",,,,,Individual
Start it @KBC,Airshaper,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
First Fellow Partners,Quanscient,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
Berliner Startup Stipendium an der BHT,Dive CAE,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
Prime Movers Lab,polySpectra (neThing.xyz),1,"""Knowledge Engineering (R&D, Learning)""",,,,,Individual
Cross Atlantic Angels,Assemblio,1,"""Factory Futures (MES, IIOT)""",,,,,Angel
July Fund,PhysicsX,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
Pangaea Ventures,polySpectra (neThing.xyz),1,"""Knowledge Engineering (R&D, Learning)""",,,,,VC Fund
Celesta Capital,Quartic.ai,1,"""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Harmonix Fund,polySpectra (neThing.xyz),1,"""Knowledge Engineering (R&D, Learning)""",,,,,Institutional Investors
LEA Partners,Assemblio,1,"""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Henry Kravis,PhysicsX,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
Hi Inov,InUse,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,Individual
Mikko Suonenlahti,Quanscient,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
Ganas Ventures,Toolhouse.Build,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Cthulhu Ventures,polySpectra (neThing.xyz),1,"""Knowledge Engineering (R&D, Learning)""",,,,,VC Fund
Tirta Ventures,Common Sense Machines,1,Design Intelligence (CAD),,,,,VC Fund
Business Finland,Quanscient,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Individual
Leblon Capital,polySpectra (neThing.xyz),1,"""Knowledge Engineering (R&D, Learning)""",,,,,Institutional Investors
Blindspot Ventures,Common Sense Machines,1,Design Intelligence (CAD),,,,,VC Fund
Ben Armstrong,Nyfty.ai,1,Bleeding Edge BIM (AEC/BIM),,,,,Individual
