Company,Estimated Headcount,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Founded,Market Opportunity,Team & Execution,Technology Differentiation,Funding Efficiency,Growth Metrics,Industry Impact,Competitive Moat,Weighted Score,Score Financial,Customer Signal Score,Est. Revenue by ARR or HC,Weighted Startup Quality Score,ARR Multiple,Estimated Valuation,Funding Floor,Estimated Value Final,ARR per Employee,Annual Burn Proxy,Runway Proxy (Months),Startup Size Category,Capital Efficiency,Runway Quality,Net Burn Level,Financial Confidence
Diagon,8,2023,$5100000.0,$5120000.0,$0.0,$0.0,2023,4.4,4.2,3.7,4.0,3.7,0.0,3.9,3.63,5,2,$0M,4,7,$0.0M,$10.2M,$10.2M,$0.0,$1.6M,2,Small,Medium,Critical,Low,Strong
Harmoni,8,2025,$0.0,$0.0,$0.0,$0.0,2021,3.6,3.5,4.1,3.0,3.0,3.5,4.5,3.57,5,2,$0M,3,7,$0.0M,$0M,$0M,$0.0,$1.6M,2,Small,Low,Critical,Low,Medium
Struck,20,2023,$2000000.0,$2000000.0,$1000000.0,$10000000.0,2021,3.9,3.4,3.6,3.2,3.5,3.8,3.4,3.56,10,2,$1M,4,7,$7M,$4M,$7M,$50000.0,$4M,4,Small,High,Critical,Moderate,Strong
Wailand,2,2025,$0.0,$0.0,$0.0,$0.0,2026,3.9,3.3,4.0,3.2,3.0,3.7,3.4,3.56,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$0.4M,0,Small,Low,Critical,Very Low,Medium
JasperX,10,2023,$1200000.0,$1200000.0,$0.0,$0.0,2023,4.0,3.3,4.0,3.0,3.0,3.8,3.5,3.56,5,2,$0M,4,7,$0.0M,$2.4M,$2.4M,$0.0,$2M,2,Small,Medium,Critical,Low,Strong
Digel,8,2025,$0.0,$0.0,$0.0,$0.0,2024,4.0,3.3,4.1,3.0,2.9,3.7,3.4,3.56,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$1.6M,2,Small,Low,Critical,Low,Medium
Coreflux,12,2025,$1300000.0,$1300000.0,$0.0,$0.0,2022,3.8,3.4,3.5,3.6,3.4,3.6,3.4,3.55,5,2,$0M,4,7,$0.0M,$2.6M,$2.6M,$0.0,$2.4M,2,Small,Medium,Critical,Low,Strong
Dados,11,2026,$0.0,$0.0,$0.0,$0.0,2022,4.0,3.2,4.2,3.0,2.8,3.7,3.4,3.55,5,2,$0M,3,7,$0.0M,$0M,$0M,$0.0,$2.2M,2,Small,Low,Critical,Low,Medium
MaestroHub,5,2025,$600000.0,$600000.0,$0.0,$10000000.0,2023,3.8,3.4,3.6,3.7,3.0,3.6,3.3,3.54,5,2,$0M,3,7,$0.0M,$1.2M,$1.2M,$0.0,$1M,1,Small,Medium,Critical,Low,Strong
PLCcode.ai,2,2025,$0.0,$0.0,$0.0,$0.0,2025,4.0,3.0,3.7,3.6,3.0,3.8,3.3,3.53,5,2,$0M,3,7,$0.0M,$0M,$0M,$0.0,$0.4M,0,Small,Low,Critical,Very Low,Medium
planeus,40,2014,$0.0,$0.0,$0.0,$0.0,2014,3.8,3.8,3.4,3.0,3.2,3.7,3.5,3.52,5,2,$0M,3,7,$0.0M,$0M,$0M,$0.0,$8M,8,Small,Low,High Risk,High,Medium
Twindustrial GmbH,5,2024,$0.0,$0.0,$0.0,$0.0,2024,3.7,3.4,3.8,3.2,3.1,3.6,3.5,3.51,5,2,$0M,3,7,$0.0M,$0M,$0M,$0.0,$1M,1,Small,Low,Critical,Low,Medium
Fab.ai,15,2023,$2000000.0,$2000000.0,$3000000.0,$20000000.0,2023,3.4,4.0,3.2,3.6,3.3,3.3,3.6,3.50,10,2,$3M,3,7,$21M,$4M,$21M,$200000.0,$3M,3,Medium,High,Critical,Moderate,Strong
HighQA,35,2023,$0.0,$5500000.0,$0.0,$0.0,2009,3.6,3.6,3.4,3.4,3.3,3.6,3.4,3.49,5,2,$0M,3,5,$0.0M,$11M,$11M,$0.0,$7M,7,Small,Medium,High Risk,Moderate,Strong
"Mind Device, Inc.",2,2022,$0.0,$0.0,$0.0,$0.0,2022,4.0,3.2,3.7,3.0,2.9,3.7,3.3,3.46,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$0.4M,0,Small,Low,Critical,Very Low,Medium
Perception Manufacturing,25,2022,$0.0,$0.0,$0.0,$15000000.0,2022,3.8,3.2,3.5,3.0,3.5,3.4,3.3,3.41,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$5M,5,Small,Low,Critical,Moderate,Medium
AnyLog,8,2024,$3800000.0,$3800000.0,$0.0,$0.0,2019,4.3,3.7,4.5,3.9,1.0,0.0,4.5,3.41,5,2,$0M,3,5,$0.0M,$7.6M,$7.6M,$0.0,$1.6M,2,Small,Medium,Critical,Low,Strong
Numorpho Cybernetic Systems (NUMO),30,2024,$0.0,$0.0,$1000000.0,$10000000.0,2022,3.4,2.9,3.4,4.0,3.0,3.8,3.5,3.39,10,2,$1M,3,5,$5M,$0M,$5M,$33333.3,$6M,6,Small,Medium,High Risk,Moderate,Medium
Tellia,10,2025,$0.0,$0.0,$1000000.0,$15000000.0,2024,0.0,4.1,4.6,4.1,3.7,4.3,4.0,3.36,10,2,$1M,3,5,$5M,$0M,$5M,$100000.0,$2M,2,Small,Medium,Critical,Low,Medium
ThredCloud,1,2019,$0.0,$0.0,$2000000.0,$15000000.0,2019,3.7,3.2,3.4,3.1,2.8,3.5,3.1,3.31,10,2,$2M,3,5,$10M,$0M,$10M,$2000000.0,$0.2M,0,Small,Medium,Critical,Very Low,Medium
formfactories,8,2018,$0.0,$0.0,$0.0,$0.0,2018,3.5,3.1,3.4,3.4,2.9,3.3,3.1,3.29,5,2,$0M,3,5,$0.0M,$0M,$0M,$0.0,$1.6M,2,Small,Low,Critical,Low,Medium
Ironloop,8,2025,$0.0,$0.0,$0.0,$0.0,2025,3.9,3.5,3.5,0.0,0.0,0.0,3.5,2.36,5,2,$0M,2,3,$0.0M,$0M,$0M,$0.0,$1.6M,2,Small,Low,Critical,Low,Medium
Santinela,-1,2019,$0.0,$0.0,$1000000.0,$10000000.0,2019,4.2,4.3,3.5,4.6,3.9,3.7,3.3,4.02,10,2,$1M,4,9,$9M,$0M,$9M,,,0,Small,Medium,Unknown,Unknown,Low
Wailand,,,,,,,,,,,,,,,0.00,5,0,,0,2,$0.0M,$0M,$0M,,,0,Small,Low,Unknown,Unknown,Low
Tractian,500,2024,$120000000.0,$120000000.0,$0.0,$720000000.0,2019,4.7,4.5,4.7,4.7,4.8,4.6,4.8,4.67,5,2,$0M,5,12,$0.0M,$240M,$240M,$0.0,$100M,100,Large,Medium,Very Strong,Very High,Strong
Instrumental,330,2021,$100000000.0,$150000000.0,$20000000.0,$200000000.0,2015,4.7,4.6,4.4,4.0,4.1,4.2,4.3,4.39,30,8,$20M,4,9,$180M,$300M,$300M,$60606.1,$66M,66,Large,High,Very Strong,Very High,Strong
Overview AI,55,2023,$65000000.0,$85000000.0,$2000000.0,$30000000.0,2016,4.6,4.4,4.5,4.2,4.3,4.0,4.1,4.37,10,2,$2M,4,9,$18M,$170M,$170M,$36363.6,$11M,11,Medium,High,High Risk,High,Strong
Twinzo,15,2024,$2300000.0,$2300000.0,$4000000.0,$50000000.0,2020,4.4,4.5,4.3,4.1,4.2,4.2,4.6,4.32,10,2,$4M,4,9,$36M,$4.6M,$36M,$266666.7,$3M,3,Medium,High,Critical,Moderate,Strong
Imubit,80,2021,$30000000.0,$50000000.0,$0.0,$150000000.0,2015,4.4,4.3,4.5,4.0,4.0,4.3,4.4,4.29,5,2,$0M,4,9,$0.0M,$100M,$100M,$0.0,$16M,16,Large,Medium,Tight,High,Strong
Aquant,190,2021,$70000000.0,$110000000.0,$40000000.0,$400000000.0,2016,4.5,4.4,4.3,4.0,4.2,4.3,3.8,4.28,30,2,$40M,4,9,$360M,$220M,$360M,$210526.3,$38M,38,Large,High,Comfortable,Very High,Strong
Scortex,90,2022,$16000000.0,$20000000.0,$5000000.0,$80000000.0,2016,4.4,4.3,4.3,4.1,4.2,4.3,4.4,4.28,20,2,$5M,4,9,$45M,$40M,$45M,$55555.6,$18M,18,Medium,High,Healthy,High,Strong
Viso Suite,80,2022,$15000000.0,$25000000.0,$5000000.0,$90000000.0,2019,4.3,4.1,4.5,4.2,4.0,4.1,4.4,4.24,20,2,$5M,4,9,$45M,$50M,$50M,$62500.0,$16M,16,Medium,High,Tight,High,Strong
LandingAI,112,2025,$57000000.0,$57000000.0,$24000000.0,$300000000.0,2017,4.3,4.8,4.2,4.0,3.5,4.2,3.9,4.23,30,2,$24M,4,9,$216M,$114M,$216M,$214285.7,$22.4M,22,Large,High,Healthy,Very High,Strong
MaintainX,150,2025,$150000000.0,$254000000.0,$120000000.0,$2500000000.0,2018,4.6,4.6,3.4,4.3,4.2,4.2,4.2,4.22,30,2,$120M,4,9,$1080M,$508M,$1080M,$800000.0,$30M,30,Large,High,Comfortable,Very High,Strong
ControlRooms.ai,27,2023,$10000000.0,$14000000.0,$5000000.0,$100000000.0,2021,4.5,4.7,3.7,4.0,4.0,3.8,4.0,4.16,20,2,$5M,4,9,$45M,$28M,$45M,$185185.2,$5.4M,5,Large,High,Critical,Moderate,Strong
Green Factory AI,8,2024,$0.3,$0.3,$1000000.0,$10000000.0,2024,4.3,4.0,4.2,3.9,4.2,4.1,3.8,4.11,10,2,$1M,4,9,$9M,$0M,$9M,$125000.0,$1.6M,2,Small,High,Critical,Low,Strong
Phaidra,97,2025,$50000000.0,$120000000.0,$0.0,$360000000.0,2019,4.2,4.1,4.4,3.7,3.8,4.2,4.1,4.10,5,2,$0M,4,9,$0.0M,$240M,$240M,$0.0,$19.4M,19,Large,Medium,Healthy,High,Strong
Geminus.ai,50,2024,$13000000.0,$13000000.0,$7000000.0,$80000000.0,2018,4.4,4.4,3.7,4.0,3.8,4.1,4.0,4.09,20,4,$7M,4,9,$63M,$26M,$63M,$140000.0,$10M,10,Medium,High,High Risk,High,Strong
Frontline.io,18,2025,$10000000.0,$10000000.0,$6000000.0,$30000000.0,2020,4.2,4.0,4.4,3.8,3.9,4.2,3.8,4.09,20,2,$6M,4,9,$54M,$20M,$54M,$333333.3,$3.6M,4,Medium,High,Critical,Moderate,Strong
Uptake,250,2021,$117000000.0,$250000000.0,$60000000.0,$600000000.0,2014,4.2,4.0,4.3,3.5,3.8,4.2,4.2,4.04,30,2,$60M,4,9,$540M,$500M,$540M,$240000.0,$50M,50,Large,High,Very Strong,Very High,Strong
juna.ai,15,2024,$7500000.0,$7500000.0,$0.0,$22500000.0,2023,4.3,3.8,4.2,4.1,3.5,4.0,3.9,4.02,5,2,$0M,4,9,$0.0M,$15M,$15M,$0.0,$3M,3,Medium,Medium,Critical,Moderate,Strong
UptimeAI,41,2024,$14000000.0,$17500000.0,$0.0,$52500000.0,2019,4.1,3.9,4.0,4.1,4.0,4.1,3.9,4.02,5,2,$0M,4,9,$0.0M,$35M,$35M,$0.0,$8.2M,8,Medium,Medium,High Risk,High,Strong
Voxel,90,2023,$30000000.0,$38000000.0,$7000000.0,$150000000.0,2020,4.1,4.0,4.2,3.7,4.0,4.0,4.0,4.01,20,8,$7M,4,9,$63M,$76M,$76M,$77777.8,$18M,18,Large,High,Healthy,High,Strong
"LinCode Labs, Inc.",120,2025,$2600000.0,$5400000.0,,$0.0,2017,4.0,3.9,4.0,4.0,3.9,4.1,3.9,3.98,5,8,$0M,4,7,$0.0M,$10.8M,$10.8M,$0.0,$24M,24,Small,Medium,Comfortable,Very High,Strong
Tanso,55,2025,$12000000.0,$22900000.0,$5000000.0,$60000000.0,2021,4.5,4.0,3.5,4.0,3.9,4.0,3.5,3.97,20,2,$5M,4,7,$35M,$45.8M,$45.8M,$90909.1,$11M,11,Medium,High,High Risk,High,Strong
Nextmv,35,2021,$8000000.0,$20000000.0,$2000000.0,$30000000.0,2019,4.4,4.1,3.7,3.9,3.8,3.7,3.7,3.96,10,2,$2M,4,7,$14M,$40M,$40M,$57142.9,$7M,7,Medium,High,High Risk,Moderate,Strong
Pictorus,10,2024,$3500000.0,$1400000.0,$1000000.0,$20000000.0,2021,4.2,4.1,3.7,4.0,3.8,3.7,3.5,3.93,10,8,$1M,4,7,$7M,$2.8M,$7M,$100000.0,$2M,2,Medium,High,Critical,Low,Strong
PAILOT,25,2025,$0.0,$0.0,,$0.0,2002,4.0,3.8,4.1,3.6,3.8,4.0,3.7,3.89,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$5M,5,Small,Low,Critical,Moderate,Medium
InUse,31,2021,$2400000.0,$2800000.0,$3000000.0,$100000000.0,2015,4.7,3.7,3.3,3.5,4.5,3.6,3.5,3.85,10,2,$3M,4,7,$21M,$5.6M,$21M,$96774.2,$6.2M,6,Large,High,High Risk,Moderate,Strong
CVector,12,2026,$5000000.0,$6500000.0,$0.0,$19500000.0,2025,3.9,3.6,4.1,4.2,3.3,3.8,3.7,3.85,5,2,$0M,4,7,$0.0M,$13M,$13M,$0.0,$2.4M,2,Small,Medium,Critical,Low,Strong
Octotronic,15,2025,$0.0,$0.0,$0.0,$0.0,2020,4.1,3.7,4.0,3.4,3.5,3.9,3.6,3.79,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$3M,3,Small,Low,Critical,Moderate,Medium
Digel,5,2025,$0.0,$0.0,$0.0,$0.0,2024,4.0,3.5,4.2,3.7,3.2,3.9,3.6,3.79,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$1M,1,Small,Low,Critical,Low,Medium
GroundControl,12,2025,$0.0,$3000000.0,$2000000.0,$20000000.0,2024,3.9,4.8,3.7,3.5,1.0,3.9,3.8,3.69,10,2,$2M,3,7,$14M,$6M,$14M,$166666.7,$2.4M,2,Medium,High,Critical,Low,Strong
Relay Ace,3,2024,$0.0,$0.0,$0.0,$0.0,2024,3.6,3.5,3.7,4.3,3.1,3.5,3.1,3.62,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$0.6M,1,Small,Low,Critical,Very Low,Medium
ViewAR,26,2021,$12000000.0,$12000000.0,$3000000.0,$50000000.0,2010,4.0,4.0,3.5,3.0,3.0,3.5,3.5,3.58,10,2,$3M,4,7,$21M,$24M,$24M,$115384.6,$5.2M,5,Medium,High,Critical,Moderate,Strong
StatStream,6,2023,$0.3,$0.0,$1000000.0,$10000000.0,2023,3.5,3.2,3.8,3.8,3.3,3.9,3.2,3.55,10,2,$1M,4,7,$7M,$0M,$7M,$166666.7,$1.2M,1,Small,Medium,Critical,Low,Medium
Optrix,10,2010,$0.0,$0.0,$1000000.0,$10000000.0,2010,3.8,3.5,3.6,3.4,3.2,3.5,3.8,3.55,10,2,$1M,4,7,$7M,$0M,$7M,$100000.0,$2M,2,Small,Medium,Critical,Low,Medium
SUFFISCIENS,15,2022,$0.0,$0.0,$0.0,$0.0,2020,3.9,3.5,3.6,3.2,3.2,3.6,3.4,3.53,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$3M,3,Small,Low,Critical,Moderate,Medium
Intelcyx,17,2024,$0.0,$0.0,$0.0,$0.0,2023,4.0,3.4,3.7,3.0,3.1,3.8,3.5,3.53,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$3.4M,3,Small,Low,Critical,Moderate,Medium
Allus AI,10,2023,$0.0,$500000.0,$0.0,$0.0,2022,3.7,3.5,3.6,3.3,3.2,3.4,3.3,3.48,5,2,$0M,3,5,$0.0M,$1M,$1M,$0.0,$2M,2,Small,Medium,Critical,Low,Strong
Digital Twin AI,10,2023,$0.0,$0.0,$1000000.0,$10000000.0,2023,3.7,3.2,3.3,3.1,3.2,3.6,3.1,3.34,10,2,$1M,3,5,$5M,$0M,$5M,$100000.0,$2M,2,Small,Medium,Critical,Low,Medium
Zelos Cloud,14,2025,$0.0,$500000.0,$440000.0,$50000000.0,2022,4.2,3.3,3.7,3.0,0.0,3.7,3.5,3.24,5,2,$0.4M,3,5,$2.2M,$1M,$2.2M,$31428.6,$2.8M,3,Medium,High,Critical,Low,Strong
SpecRight,140,2025,$30000000.0,$46000000.0,$23700000.0,$125000000.0,2014,4.3,4.6,4.7,4.1,4.1,4.6,4.5,4.43,30,8,$23.7M,4,9,$213.3M,$92M,$213.3M,$169285.7,$28M,28,Large,High,Comfortable,Very High,Strong
Omnea,55,2025,$50000000.0,$110000000.0,$3000000.0,$10000000.0,2021,4.3,4.2,4.3,4.2,4.2,4.2,4.0,4.23,10,2,$3M,4,9,$27M,$220M,$220M,$54545.5,$11M,11,Large,High,High Risk,High,Strong
Luminovo,75,2022,$11000000.0,$11000000.0,$5000000.0,$60000000.0,2017,4.4,4.0,4.2,4.1,4.4,4.2,4.4,4.22,20,2,$5M,4,9,$45M,$22M,$45M,$66666.7,$15M,15,Medium,High,Tight,High,Strong
Parter,80,2023,$60000000.0,$90000000.0,$1000000.0,$10000000.0,2019,4.5,4.3,4.4,3.8,4.2,3.9,3.9,4.22,10,8,$1M,4,9,$9M,$180M,$180M,$12500.0,$16M,16,Medium,High,Tight,High,Strong
Flowlity,40,2022,$5000000.0,$6700000.0,$1000000.0,$100000000.0,2019,4.3,4.1,4.3,4.2,4.1,4.2,4.0,4.20,10,2,$1M,4,9,$9M,$13.4M,$13.4M,$25000.0,$8M,8,Large,High,High Risk,High,Strong
Matchory,23,2025,$6000000.0,$7000000.0,$7000000.0,$100000000.0,2017,4.2,4.1,4.3,4.2,4.1,4.2,3.9,4.18,20,2,$7M,4,9,$63M,$14M,$63M,$304347.8,$4.6M,5,Large,High,Critical,Moderate,Strong
Spendkey,17,2024,$2000000.0,$3500000.0,$1000000.0,$10000000.0,2020,4.2,4.1,4.3,4.2,4.1,4.2,3.9,4.18,10,2,$1M,4,9,$9M,$7M,$9M,$58823.5,$3.4M,3,Small,High,Critical,Moderate,Strong
Mandel AI,8,2024,$1200000.0,$1200000.0,$1000000.0,$5000000.0,2023,4.0,4.4,4.2,4.2,4.1,4.1,3.9,4.17,10,2,$1M,4,9,$9M,$2.4M,$9M,$125000.0,$1.6M,2,Small,High,Critical,Low,Strong
Wakeo,55,2023,$21130200.0,$30000000.0,$20000000.0,$400000000.0,2016,4.3,4.1,4.3,4.0,4.2,4.2,3.7,4.17,30,2,$20M,4,9,$180M,$60M,$180M,$363636.4,$11M,11,Large,High,High Risk,High,Strong
Jiga,30,2025,$12000000.0,$16100000.0,$5000000.0,$75000000.0,2020,4.4,4.2,4.2,3.8,4.0,4.3,4.1,4.17,20,2,$5M,4,9,$45M,$32.2M,$45M,$166666.7,$6M,6,Medium,High,High Risk,Moderate,Strong
Pivot,14,2025,$5000000.0,$5000000.0,$1000000.0,$10000000.0,2023,4.2,4.0,4.2,4.1,4.1,4.2,3.9,4.12,10,2,$1M,4,9,$9M,$10M,$10M,$71428.6,$2.8M,3,Small,High,Critical,Low,Strong
Mobius Materials,10,2025,$3000000.0,$4500000.0,$1000000.0,$40000000.0,2020,4.2,4.3,4.2,4.0,3.9,3.8,3.8,4.10,10,8,$1M,4,9,$9M,$9M,$9M,$100000.0,$2M,2,Medium,High,Critical,Low,Strong
Pelico,180,2025,$40000000.0,$58500000.0,$0.0,$0.0,2019,4.4,4.1,4.1,3.6,4.0,4.2,4.1,4.09,5,2,$0M,4,9,$0.0M,$117M,$117M,$0.0,$36M,36,Medium,Medium,Comfortable,Very High,Strong
Poka Labs,15,2024,$500000.0,$500000.0,$1000000.0,$5000000.0,2023,4.2,3.8,4.5,4.0,3.7,4.1,4.0,4.08,10,2,$1M,4,9,$9M,$1M,$9M,$66666.7,$3M,3,Small,High,Critical,Moderate,Strong
CoFactr,70,2024,$17200000.0,$28200000.0,$10000000.0,$75000000.0,2021,4.2,4.3,3.7,4.2,4.3,3.7,3.9,4.07,30,2,$10M,4,9,$90M,$56.4M,$90M,$142857.1,$14M,14,Medium,High,Tight,High,Strong
ContractHero,18,2023,$8000000.0,$8000000.0,$40000000.0,$22000000.0,2017,4.1,4.0,4.2,4.1,4.0,4.1,3.7,4.07,30,2,$40M,4,9,$360M,$16M,$360M,$2222222.2,$3.6M,4,Medium,High,Critical,Moderate,Strong
Sudozi,22,2022,$2000000.0,$4300000.0,$5000000.0,$70000000.0,2021,4.1,4.0,4.2,4.1,4.0,4.0,3.9,4.07,20,2,$5M,4,9,$45M,$8.6M,$45M,$227272.7,$4.4M,4,Medium,High,Critical,Moderate,Strong
Evolinq,10,2025,$1600000.0,$3000000.0,$1000000.0,$15000000.0,2023,4.1,4.0,4.2,4.1,4.0,4.0,3.8,4.06,10,2,$1M,4,9,$9M,$6M,$9M,$100000.0,$2M,2,Small,High,Critical,Low,Strong
Vendorvue,14,2024,$1400000.0,$2000000.0,$1000000.0,$10000000.0,2023,4.0,4.0,4.2,4.1,4.0,4.0,3.8,4.05,10,2,$1M,4,9,$9M,$4M,$9M,$71428.6,$2.8M,3,Small,High,Critical,Low,Strong
Besso,15,2024,$1400000.0,$2000000.0,$1000000.0,$10000000.0,2018,4.0,3.9,4.2,4.1,4.0,4.1,3.8,4.04,10,2,$1M,4,9,$9M,$4M,$9M,$66666.7,$3M,3,Small,High,Critical,Moderate,Strong
Fabriom,3,2025,$0.0,$0.0,$150000.0,$5000000.0,2025,4.4,3.8,4.2,4.3,3.1,4.1,3.6,4.03,5,4,$0.2M,4,9,$1.4M,$0M,$1.4M,$50000.0,$0.6M,1,Small,Medium,Critical,Very Low,Medium
Response,6,2025,$900.0,$1200000.0,$1000000.0,$10000000.0,2024,4.0,3.8,4.1,4.0,3.8,4.0,3.7,3.95,10,2,$1M,4,7,$7M,$2.4M,$7M,$166666.7,$1.2M,1,Small,High,Critical,Low,Strong
Silkline,10,2025,$4000000.0,$4000000.0,$1000000.0,$10000000.0,2023,4.0,4.5,3.0,4.0,3.8,3.5,3.5,3.81,10,2,$1M,4,7,$7M,$8M,$8M,$100000.0,$2M,2,Small,High,Critical,Low,Strong
Flexify,6,2025,$0.0,$0.0,$0.0,$0.0,2025,4.1,3.5,4.0,3.4,3.2,3.8,3.5,3.71,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$1.2M,1,Small,Low,Critical,Low,Medium
Flywheel Industries,6,2024,$500000.0,$500000.0,$0.0,$0.0,2024,4.0,3.4,3.8,3.9,3.1,3.7,3.4,3.68,5,2,$0M,4,7,$0.0M,$1M,$1M,$0.0,$1.2M,1,Small,Medium,Critical,Low,Strong
SomebodyMakeIt,6,2025,$0.0,$0.0,$0.0,$0.0,2025,4.0,3.4,3.7,3.6,3.2,3.7,3.5,3.63,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$1.2M,1,Small,Low,Critical,Low,Medium
Omnae,18,2021,$0.0,$0.0,$2000000.0,$20000000.0,2016,3.0,4.0,3.5,4.0,3.0,3.9,4.0,3.59,10,2,$2M,3,7,$14M,$0M,$14M,$111111.1,$3.6M,4,Medium,Medium,Critical,Moderate,Medium
Bill-X Gmbh,22,2024,$0.0,$0.0,$0.0,$0.0,2021,3.8,3.7,3.6,3.2,3.4,3.5,3.4,3.56,5,2,$0M,4,7,$0.0M,$0M,$0M,$0.0,$4.4M,4,Small,Low,Critical,Moderate,Medium
Mak3r.ai,6,2023,$0.0,$50000000.0,$1000000.0,$5.0,2023,3.0,3.7,3.4,3.9,3.0,3.7,3.5,3.45,10,2,$1M,3,5,$5M,$100M,$100M,$166666.7,$1.2M,1,Medium,High,Critical,Low,Strong
Optimuse,20,2025,$4682120.0,$5800000.0,$2000000.0,$30000000.0,2021,4.8,4.3,4.5,4.4,4.2,3.7,4.4,4.39,10,2,$2M,4,9,$18M,$11.6M,$18M,$100000.0,$4M,4,Medium,High,Critical,Moderate,Strong
Zenesis,14,2024,$0.0,$0.0,$1000000.0,$12000000.0,2022,4.7,4.2,4.6,4.3,4.1,3.8,4.3,4.35,10,2,$1M,4,9,$9M,$0M,$9M,$71428.6,$2.8M,3,Small,Medium,Critical,Low,Medium
Hypar,17,2023,$5500000.0,$8280000.0,$4000000.0,$30000000.0,2018,4.5,4.7,4.5,3.9,3.4,4.2,4.0,4.29,10,2,$4M,4,9,$36M,$16.6M,$36M,$235294.1,$3.4M,3,Medium,High,Critical,Moderate,Strong
Designair,25,2023,$2000000.0,$2000000.0,$1000000.0,$10000000.0,2022,4.3,4.2,4.5,4.3,4.1,4.3,4.0,4.29,10,2,$1M,4,9,$9M,$4M,$9M,$40000.0,$5M,5,Small,High,Critical,Moderate,Strong
OpenSpace,190,2022,$9000000.0,$200000000.0,$60000000.0,$900000000.0,2017,4.6,4.3,4.2,3.9,4.5,4.0,4.5,4.28,30,2,$60M,4,9,$540M,$400M,$540M,$315789.5,$38M,38,Large,High,Comfortable,Very High,Strong
BuilDOTS,120,2024,$45000000.0,$121000000.0,,$0.0,2018,4.4,4.4,4.3,3.8,4.3,4.4,4.4,4.28,5,2,$0M,4,9,$0.0M,$242M,$242M,$0.0,$24M,24,Large,Medium,Comfortable,Very High,Strong
ORIS Connect,50,2025,$3000000.0,$3000000.0,$1000000.0,$10000000.0,2021,4.5,4.4,4.2,4.1,4.0,4.3,4.1,4.27,10,2,$1M,4,9,$9M,$6M,$9M,$20000.0,$10M,10,Small,High,High Risk,High,Strong
XYZ Reality,74,2021,$26892000.0,$69000000.0,$4000000.0,$200000000.0,2017,4.5,4.6,4.3,4.0,3.0,4.3,4.5,4.23,10,2,$4M,4,9,$36M,$138M,$138M,$54054.1,$14.8M,15,Large,High,Tight,High,Strong
AirWorks,40,2022,$5000000.0,$25000000.0,$2000000.0,$50000000.0,2017,4.3,4.2,4.5,4.0,4.0,4.1,3.9,4.21,10,2,$2M,4,9,$18M,$50M,$50M,$50000.0,$8M,8,Medium,High,High Risk,High,Strong
Skema.AI,25,2025,$50000.0,$5000000.0,$1000000.0,$25000000.0,2021,4.2,4.3,4.5,4.2,3.7,4.0,3.7,4.18,10,2,$1M,4,9,$9M,$10M,$10M,$40000.0,$5M,5,Medium,High,Critical,Moderate,Strong
Arcol,18,2022,$3600000.0,$3600000.0,$2000000.0,$20000000.0,2021,4.3,4.0,4.4,4.2,3.9,4.0,4.1,4.17,10,2,$2M,4,9,$18M,$7.2M,$18M,$111111.1,$3.6M,4,Medium,High,Critical,Moderate,Strong
WorkHero,25,2025,$5000000.0,$5000000.0,$1000000.0,$10000000.0,2023,4.8,4.7,3.4,4.0,3.9,3.8,3.8,4.14,10,2,$1M,4,9,$9M,$10M,$10M,$40000.0,$5M,5,Small,High,Critical,Moderate,Strong
Reshape Automation,25,2023,$12000000.0,$12000000.0,$1000000.0,$10000000.0,2021,4.5,4.1,4.2,4.3,3.8,3.6,3.8,4.14,10,8,$1M,4,9,$9M,$24M,$24M,$40000.0,$5M,5,Small,High,Critical,Moderate,Strong
Togal AI,27,2023,$5000000.0,$10400000.0,$15000000.0,$150000000.0,2019,4.4,4.2,3.7,4.3,4.1,4.1,3.8,4.12,30,2,$15M,4,9,$135M,$20.8M,$135M,$555555.6,$5.4M,5,Large,High,Critical,Moderate,Strong
Solesca,8,2023,$0.0,$650000.0,$1000000.0,$10000000.0,2022,4.2,4.3,4.2,4.0,3.7,4.1,3.9,4.12,10,2,$1M,4,9,$9M,$1.3M,$9M,$125000.0,$1.6M,2,Small,High,Critical,Low,Strong
Speckle,33,2024,$12500000.0,$19000000.0,$0.0,$100000000.0,2020,4.3,4.4,3.7,4.0,4.2,4.0,3.5,4.08,5,2,$0M,4,9,$0.0M,$38M,$38M,$0.0,$6.6M,7,Large,Medium,High Risk,Moderate,Strong
